"N","COPY_H2D_MIN_s","COPY_H2D_AVG_s","COPY_H2D_MAX_s","LPOTRF_MIN_s","LPOTRF_AVG_s","LPOTRF_MAX_s","UPOTRF_MIN_s","UPOTRF_AVG_s","UPOTRF_MAX_s"
513,2.50348006375133991E-04,2.53499951213598251E-04,2.70163058303296566E-04,3.70727200061082840E-03,7.11465099011547759E-03,3.15908942022360861E-01,3.94517194945365191E-03,4.30491907638497727E-03,4.68243402428925037E-03
514,2.50523095019161701E-04,2.53499309183098361E-04,3.02273081615567207E-04,3.71370499487966299E-03,3.77079149126075246E-03,4.21307992655783892E-03,3.95711197052150965E-03,4.03343941899947898E-03,4.80768096167594194E-03
515,2.44667055085301399E-04,2.47199768200516738E-04,2.56284023635089397E-04,3.71516100130975246E-03,3.76301625045016245E-03,3.83803097065538168E-03,3.95776703953742981E-03,4.01300704339519181E-03,4.15413198061287403E-03
516,2.44855997152626514E-04,2.47159697464667343E-04,2.58818035945296288E-04,3.70990298688411713E-03,3.75098009244538913E-03,3.86181392241269350E-03,3.97053000051528215E-03,4.00978697580285301E-03,4.12328902166336775E-03
517,2.46086041443049908E-04,2.48273793840780898E-04,2.73530022241175175E-04,3.71325702872127295E-03,3.75754444859922095E-03,3.87494103051722050E-03,3.96414101123809814E-03,4.01092625223100230E-03,4.12151403725147247E-03
518,2.46312934905290604E-04,2.48731980100274025E-04,2.57417093962430954E-04,3.72440402861684561E-03,3.76134539605118461E-03,3.83667903952300549E-03,3.96109896246343851E-03,4.00754985865205658E-03,4.10255906172096729E-03
519,2.46759038418531418E-04,2.49441773630678710E-04,2.61232955381274223E-04,3.71640105731785297E-03,3.76444491324946307E-03,3.86774004437029362E-03,3.97338904440402985E-03,4.01022047735750606E-03,4.10724699031561613E-03
520,2.47251940891146660E-04,2.49482469516806274E-04,2.65136011876165867E-04,3.71043896302580833E-03,3.75166751677170418E-03,3.87154798954725266E-03,3.97019402589648962E-03,4.00994079769589114E-03,4.11951006390154362E-03
521,2.49453005380928516E-04,2.51546559156850006E-04,2.60709901340305805E-04,3.70500097051262856E-03,3.76357102184556253E-03,3.83444491308182478E-03,3.79688490647822618E-03,3.84587378357536917E-03,4.05086600221693516E-03
522,2.49631004408001900E-04,2.51937450957484608E-04,2.64005968347191811E-04,3.71994893066585064E-03,3.76302597695030291E-03,3.87739005964249372E-03,3.80503491032868624E-03,3.84634765214286788E-03,3.94921610131859779E-03
