"N","COPY_H2D_MIN_s","COPY_H2D_AVG_s","COPY_H2D_MAX_s","LPOTRF_MIN_s","LPOTRF_AVG_s","LPOTRF_MAX_s","UPOTRF_MIN_s","UPOTRF_AVG_s","UPOTRF_MAX_s"
1,1.18289608508348465E-05,1.30424101371318115E-05,3.65499872714281082E-05,5.44870272278785706E-05,6.50648586452007028E-05,1.43725075758993626E-04,5.41330082342028618E-05,6.41496037133038207E-05,8.22249567136168480E-05
2,1.16500305011868477E-05,1.28552940441295515E-05,2.57729552686214447E-05,5.69269759580492973E-05,6.49402651470154258E-05,8.10279743745923042E-05,5.71950804442167282E-05,6.50267524179071513E-05,8.35210084915161133E-05
3,1.16719165816903114E-05,1.29479012684896588E-05,2.70070740953087807E-05,5.71319833397865295E-05,6.54949410818517083E-05,7.63600692152976990E-05,5.73949655517935753E-05,6.50621368549764156E-05,7.75119988247752190E-05
4,1.16890296339988708E-05,1.28223252249881639E-05,2.50010052695870399E-05,5.77099854126572609E-05,6.59188604913652025E-05,8.67480412125587463E-05,5.72840217500925064E-05,6.57298660371452434E-05,8.38669948279857635E-05
5,1.16960145533084869E-05,1.30445219110697521E-05,4.03079902753233910E-05,5.77040482312440872E-05,6.55850570183247436E-05,8.32100631669163704E-05,5.81580679863691330E-05,6.55674852896481655E-05,8.39880667626857758E-05
6,1.17849558591842651E-05,1.31233304273337129E-05,2.67819268628954887E-05,5.82279171794652939E-05,6.53206149581819702E-05,7.98060791566967964E-05,5.81960193812847137E-05,6.59285834990441631E-05,8.43419693410396576E-05
7,1.17659801617264748E-05,1.28864083671942318E-05,2.45589762926101685E-05,5.78159233555197716E-05,6.65746151935309269E-05,8.74010147526860237E-05,5.77809987589716911E-05,6.61406759172677945E-05,8.64679459482431412E-05
8,1.17430463433265686E-05,1.28178595332428793E-05,1.63180520758032799E-05,5.87509712204337120E-05,6.58752548042684663E-05,7.99979316070675850E-05,5.84690133109688759E-05,6.58952433150261592E-05,8.59289430081844330E-05
9,1.16790179163217545E-05,1.29204773111268870E-05,2.46129930019378662E-05,7.00230011716485023E-05,7.88224651478230758E-05,9.66100487858057022E-05,7.06519931554794312E-05,7.76083057280629488E-05,8.62809829413890839E-05
10,1.18240714073181152E-05,1.30094913765788070E-05,2.66050919890403748E-05,7.01289391145110130E-05,7.82337458804249774E-05,9.03349136933684349E-05,7.05249840393662453E-05,7.92750355321914088E-05,9.71670961007475853E-05
11,1.17369927465915680E-05,1.31335435435175945E-05,2.60079978033900261E-05,7.08379084244370461E-05,7.91819533333181983E-05,9.64640639722347260E-05,7.17979855835437775E-05,8.00408306531608240E-05,8.73869284987449646E-05
12,1.18210446089506149E-05,1.30497018108144393E-05,3.23379645124077797E-05,7.10809836164116859E-05,7.96340184751897926E-05,9.84690850600600243E-05,7.21260439604520798E-05,7.98346579540520760E-05,1.03903934359550476E-04
13,1.17860035970807076E-05,1.28686835523694781E-05,2.61759851127862930E-05,7.09559535607695580E-05,7.84905522596090853E-05,9.94699075818061829E-05,7.22360564395785332E-05,8.01990495529026026E-05,9.93530265986919403E-05
14,1.17759918794035912E-05,1.31707597756758362E-05,3.23080457746982574E-05,7.25750578567385674E-05,7.98437022604048447E-05,9.54709248617291451E-05,7.20709795132279396E-05,8.03322938736528185E-05,8.82189488038420677E-05
15,1.17659801617264748E-05,1.31284905364736915E-05,2.67309369519352913E-05,7.18820374459028244E-05,8.01502959802746827E-05,1.04220001958310604E-04,7.31890322640538216E-05,8.08447052258998269E-05,9.69009706750512123E-05
16,1.18110328912734985E-05,1.32459908491000507E-05,3.19209648296236992E-05,7.22679542377591133E-05,7.95821088831871596E-05,9.76049341261386871E-05,7.28040467947721481E-05,8.17986554466188062E-05,9.23469197005033493E-05
17,1.17900781333446503E-05,1.29798671696335068E-05,1.62388896569609642E-05,8.33679223433136940E-05,9.03701141942292040E-05,1.03472964838147163E-04,8.54990212246775627E-05,9.34563612099737097E-05,1.14886905066668987E-04
18,1.18949683383107185E-05,1.32182770175859377E-05,2.61180102825164795E-05,8.40449938550591469E-05,9.27084207069128367E-05,1.08715030364692211E-04,8.60769068822264671E-05,9.33867401909083524E-05,1.08066014945507050E-04
19,1.18300085887312889E-05,1.31447718013077987E-05,1.63030344992876053E-05,8.35900427773594856E-05,9.17772995308041302E-05,1.15360948257148266E-04,8.50750366225838661E-05,9.45921021047979425E-05,1.09761022031307220E-04
20,1.19330361485481262E-05,1.30782288033515186E-05,1.41609925776720047E-05,8.42979643493890762E-05,9.21351579017937433E-05,1.04818027466535568E-04,8.59779538586735725E-05,9.37072664964944845E-05,1.11700035631656647E-04
21,1.21069606393575668E-05,1.33884063689038162E-05,2.60650413110852242E-05,8.47879564389586449E-05,9.45251213852316125E-05,1.14366994239389896E-04,8.58879648149013519E-05,9.42039361689240039E-05,1.16204028017818928E-04
22,1.20890326797962189E-05,1.32155010942369743E-05,2.70409509539604187E-05,8.51920340210199356E-05,9.17192117776721613E-05,1.10809924080967903E-04,8.58950661495327950E-05,9.45593276992440159E-05,1.18642929010093212E-04
23,1.20960175991058350E-05,1.34278181940317173E-05,2.72640027105808258E-05,8.59169522300362587E-05,9.45617456454783364E-05,1.05804065242409706E-04,8.67869239300489426E-05,9.52428893651813204E-05,1.15814036689698696E-04
24,1.20049808174371719E-05,1.32801412837579827E-05,1.70660205185413361E-05,8.58249841257929802E-05,9.36869403813033824E-05,1.04902079328894615E-04,8.63370951265096664E-05,9.53692779876292007E-05,1.18128024041652679E-04
25,1.21659832075238228E-05,1.34699937188997888E-05,1.65110686793923378E-05,9.72609268501400948E-05,1.05634446954354670E-04,1.17968069389462471E-04,9.90650150924921036E-05,1.07254653703421377E-04,1.13241956569254398E-04
26,1.21669145300984383E-05,1.35432271054014561E-05,3.04250279441475868E-05,9.75970178842544556E-05,1.04854480596259210E-04,1.12827983684837818E-04,9.99131007120013237E-05,1.07290326850488811E-04,1.19943055324256420E-04
27,1.22290803119540215E-05,1.35611003497615520E-05,1.43570359796285629E-05,9.80360200628638268E-05,1.07256957562640296E-04,1.23143079690635204E-04,1.00100995041429996E-04,1.09707830706611313E-04,1.27637991681694984E-04
28,1.22389756143093109E-05,1.34728598641231640E-05,1.66229438036680222E-05,9.78769967332482338E-05,1.06250158278271546E-04,1.22156925499439240E-04,1.00407982245087624E-04,1.08200606191530784E-04,1.35465990751981735E-04
29,1.24139478430151939E-05,1.37175247073173471E-05,2.77700601145625114E-05,9.81000484898686409E-05,1.07142460765317067E-04,1.17484014481306076E-04,1.00312987342476845E-04,1.10595081932842707E-04,1.38563918881118298E-04
30,1.24409561976790428E-05,1.35743716964498158E-05,2.33020400628447533E-05,9.86759550869464874E-05,1.07213064329698664E-04,1.23079051263630390E-04,1.00008910521864891E-04,1.09318620525300440E-04,1.25244027003645897E-04
31,1.24219805002212524E-05,1.36911863228306145E-05,2.70720338448882103E-05,9.85909719020128250E-05,1.06719454051926760E-04,1.28229032270610332E-04,1.00948032923042774E-04,1.09478364465758203E-04,1.30439060740172863E-04
32,1.24489888548851013E-05,1.38259591767564440E-05,2.70690070465207100E-05,8.41020373627543449E-05,9.34803078416734777E-05,1.15163973532617092E-04,8.64510657265782356E-05,9.60651505738496629E-05,1.17606949061155319E-04
33,1.26759987324476242E-05,1.40252040000632413E-05,3.04509885609149933E-05,1.02579942904412746E-04,1.15889741573482771E-04,1.35060981847345829E-04,1.08246924355626106E-04,1.21219250140711644E-04,1.49672036059200764E-04
34,1.24860089272260666E-05,1.40498584369197511E-05,2.93239718303084373E-05,1.02882971987128258E-04,1.16208043182268711E-04,1.34630943648517132E-04,1.07042025774717331E-04,1.20449190726503748E-04,1.43045093864202499E-04
35,1.25049846246838570E-05,1.39169103931635608E-05,2.72870529443025589E-05,1.02559919469058514E-04,1.14529043203219743E-04,1.28427054733037949E-04,1.07711995951831341E-04,1.20624281698837856E-04,1.46823003888130188E-04
36,1.25479418784379959E-05,1.40165962511673591E-05,2.82230321317911148E-05,1.02788093499839306E-04,1.13762018736451870E-04,1.36674032546579838E-04,1.07674044556915760E-04,1.18785584345459914E-04,1.34264933876693249E-04
37,1.27329258248209953E-05,1.40376214403659054E-05,2.94010387733578682E-05,1.02698919363319874E-04,1.13174493890255690E-04,1.30241038277745247E-04,1.08108040876686573E-04,1.19122554315254087E-04,1.31655018776655197E-04
38,1.27980019897222519E-05,1.41042278846725775E-05,2.72190663963556290E-05,1.02319987490773201E-04,1.13758319057524206E-04,1.30386091768741608E-04,1.08191976323723793E-04,1.18722951738163844E-04,1.32584013044834137E-04
39,1.28160463646054268E-05,1.40798941720277099E-05,1.70939601957798004E-05,1.02706020697951317E-04,1.11287981271743759E-04,1.19814067147672176E-04,1.08430045656859875E-04,1.16355172358453241E-04,1.33028952404856682E-04
40,1.27489911392331123E-05,1.40768260462209582E-05,1.71429710462689400E-05,1.03580998256802559E-04,1.12650566734373556E-04,1.43641955219209194E-04,1.08242034912109375E-04,1.16489492356777191E-04,1.33972032926976681E-04
41,1.28189567476511002E-05,1.41467846697196383E-05,1.72620639204978943E-05,1.13951973617076874E-04,1.30254621617496033E-04,1.44236953929066658E-04,1.20616983622312546E-04,1.35785908205434742E-04,1.48146995343267918E-04
42,1.28539977595210075E-05,1.43694126745685938E-05,2.89049930870532990E-05,1.14036025479435921E-04,1.27775702858343740E-04,1.42763019539415836E-04,1.20342010632157326E-04,1.35323081631213391E-04,1.51525950059294701E-04
43,1.29119725897908211E-05,1.42244755988940582E-05,1.69470440596342087E-05,1.14984926767647266E-04,1.28041354473680270E-04,1.43833924084901810E-04,1.20079959742724895E-04,1.35662669781595410E-04,1.59553019329905510E-04
44,1.30980042740702629E-05,1.44798023393377687E-05,2.43739923462271690E-05,1.14088994450867176E-04,1.26990005373954810E-04,1.54775916598737240E-04,1.21093005873262882E-04,1.35505282087251545E-04,1.62899959832429886E-04
45,1.31340930238366127E-05,1.45428651012480236E-05,2.99139646813273430E-05,1.14126014523208141E-04,1.24826057581230989E-04,1.42946024425327778E-04,1.21516990475356579E-04,1.31826488068327298E-04,1.49416038766503334E-04
46,1.31200067698955536E-05,1.45144260022789207E-05,2.81819375231862068E-05,1.15022063255310059E-04,1.23170943697914492E-04,1.43200042657554150E-04,1.21567049063742161E-04,1.30725710187107330E-04,1.49594037793576717E-04
47,1.31949782371520996E-05,1.45818974124267678E-05,2.78160441666841507E-05,1.15524046123027802E-04,1.23912271810695563E-04,1.41168013215065002E-04,1.21908960863947868E-04,1.31136210402473804E-04,1.38404080644249916E-04
48,1.34649453684687614E-05,1.48177618393674539E-05,2.98459781333804131E-05,1.15797971375286579E-04,1.23956995084881780E-04,1.33095076307654381E-04,1.21724908240139484E-04,1.30419805645942672E-04,1.47805083543062210E-04
49,1.35040609166026115E-05,1.47657160414382819E-05,2.68339645117521286E-05,1.26825994811952114E-04,1.44353136420249939E-04,1.64105091243982315E-04,1.35327922180294991E-04,1.53411781648173865E-04,1.68769038282334805E-04
50,1.34719302877783775E-05,1.47718680091202264E-05,1.97960762307047844E-05,1.27620063722133636E-04,1.46089303307235275E-04,1.65402074344456196E-04,1.36689050123095512E-04,1.54706975445151307E-04,1.72712956555187702E-04
51,1.34999863803386688E-05,1.48686009924858806E-05,2.69820448011159897E-05,1.27229024656116962E-04,1.43726713722571738E-04,1.63097050972282887E-04,1.35303009301424026E-04,1.52662070468068199E-04,1.70229002833366394E-04
