"N","COPY_H2D_MIN_s","COPY_H2D_AVG_s","COPY_H2D_MAX_s","LPOTRF_MIN_s","LPOTRF_AVG_s","LPOTRF_MAX_s","UPOTRF_MIN_s","UPOTRF_AVG_s","UPOTRF_MAX_s"
28,1.27450330182909966E-05,1.41720048850402254E-05,1.67040852829813957E-05,4.78057074360549450E-04,4.80101762805134138E-04,4.94592008180916309E-04,4.73696971312165260E-04,4.75753942737355774E-04,4.85152937471866608E-04
29,1.28619140014052391E-05,1.41738908132538180E-05,1.68359838426113129E-05,4.95869899168610573E-04,4.98021913226693886E-04,5.12646976858377457E-04,4.91612940095365047E-04,4.94293619412928642E-04,5.16118016093969345E-04
30,1.27210514619946480E-05,1.42813794082030609E-05,2.54500191658735275E-05,5.13290055096149445E-04,5.15760940033942595E-04,5.33902901224792004E-04,5.09727979078888893E-04,5.12636837083846266E-04,5.31099038198590279E-04
31,1.31540000438690186E-05,1.44091999391093790E-05,2.41330126300454140E-05,5.30864926986396313E-04,5.34293209202587466E-04,5.58261992409825325E-04,5.27524971403181553E-04,5.30771051999181305E-04,5.46289025805890560E-04
32,1.31019623950123787E-05,1.45560619421303335E-05,2.72800680249929428E-05,5.48771000467240810E-04,5.52474975120276148E-04,5.70652075111865997E-04,5.44812995940446854E-04,5.49569989088922713E-04,5.70368021726608276E-04
33,1.31409615278244019E-05,1.44430500222370007E-05,1.74730084836483002E-05,5.70735079236328602E-04,5.72942111175507064E-04,5.90379000641405582E-04,5.63101959414780140E-04,5.65430833958089230E-04,5.81393018364906311E-04
34,1.33010325953364372E-05,1.45523186074569817E-05,1.68690457940101624E-05,5.88410999625921249E-04,5.91455124085769066E-04,6.06097979471087456E-04,5.80803956836462021E-04,5.84047989686951072E-04,6.01132051087915897E-04
35,1.30840344354510307E-05,1.45927414996549427E-05,1.65300443768501282E-05,6.06555026024580002E-04,6.09546921914443313E-04,6.25385087914764881E-04,5.98891987465322018E-04,6.02048439905047278E-04,6.19063968770205975E-04
36,1.34740257635712624E-05,1.47527898661792312E-05,2.44900584220886230E-05,6.23531988821923733E-04,6.27057616366073290E-04,6.49229972623288631E-04,6.16998993791639805E-04,6.20652473298832601E-04,6.53218012303113937E-04
37,1.34839210659265518E-05,1.47677224595099675E-05,2.70019518211483955E-05,6.41562044620513916E-04,6.44284185254946542E-04,6.61893980577588081E-04,6.34841970168054104E-04,6.38038158649578669E-04,6.52467017062008381E-04
